date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:18	137/137	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Jun%202022%2011:51:18%20GMT	https://oscwebdesign.biz/robots.txt		(from )
12:51:19	56097/56097	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:19%20GMT	https://oscwebdesign.biz/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/index.html	(from )
12:51:19	20420/20420	---M--	200	added ('OK')	application/font-woff2	etag:%225d8de141-4fc4%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/proximanovabold-webfont.woff2	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/proximanovabold-webfont.woff2	(from https://oscwebdesign.biz/)
12:51:20	20656/20656	---M--	200	added ('OK')	application/font-woff2	etag:%225d8dd56b-50b0%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/proximanova-regular-webfont.woff2	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/proximanova-regular-webfont.woff2	(from https://oscwebdesign.biz/)
12:51:21	821/821	---MCZ	200	added ('OK')	application/json	etag:W/%22335-5dd2a08df7df3%22	https://oscwebdesign.biz/superpwa-manifest.json	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/superpwa-manifest.json	(from https://oscwebdesign.biz/)
12:51:21	4933/4933	---MCZ	200	added ('OK')	text/css	etag:W/%22627e5248-1345%22	https://oscwebdesign.biz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.4.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style9e2d.css	(from https://oscwebdesign.biz/)
12:51:21	83419/83419	---MCZ	200	added ('OK')	text/css	etag:W/%22624caf70-145db%22	https://oscwebdesign.biz/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-includes/css/dist/block-library/style.min7404.css	(from https://oscwebdesign.biz/)
12:51:21	434497/434497	---M--	200	added ('OK')	application/x-javascript	etag:%226a141-62a64996-af3ebb833015feec;;;%22	https://acsbapp.com/apps/app/dist/js/app.js	C:/My%20Web%20Sites/webdesign/acsbapp.com/apps/app/dist/js/app.js	(from https://oscwebdesign.biz/)
12:51:22	211027/211027	---MCZ	200	added ('OK')	text/css	etag:W/%22627e5248-33162%22	https://oscwebdesign.biz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.4.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style9e2d.css	(from https://oscwebdesign.biz/)
12:51:22	724/724	---MCZ	200	added ('OK')	text/css	etag:W/%225e6b3d76-3b1%22	https://oscwebdesign.biz/wp-content/plugins/easy-author-image/css/easy-author-image.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/easy-author-image/css/easy-author-image7404.css	(from https://oscwebdesign.biz/)
12:51:23	6741/6741	---MCZ	200	added ('OK')	text/css	etag:W/%226241ad0a-1a55%22	https://oscwebdesign.biz/wp-content/plugins/wedevs-project-manager/src/Pusher/views/assets/css/toastr/toastr.min.css?ver=v2.1.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/wedevs-project-manager/src/Pusher/views/assets/css/toastr/toastr.min68e8.css	(from https://oscwebdesign.biz/)
12:51:23	84018/84018	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c76d3734cf4e9cd48c5713c47516c6fa-gzip%22	https://oscwebdesign.biz/feed/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/feed/index.html	(from https://oscwebdesign.biz/)
12:51:23	1276/1276	---MCZ	200	added ('OK')	text/css	etag:W/%226241ad0a-4fc%22	https://oscwebdesign.biz/wp-content/plugins/wedevs-project-manager/src/Pusher/views/assets/css/pusher.css?ver=1655121078	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/wedevs-project-manager/src/Pusher/views/assets/css/pusher4524.css	(from https://oscwebdesign.biz/)
12:51:23	17809/17809	---MCZ	200	added ('OK')	text/css	etag:W/%22627e5248-4591%22	https://oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=6.5.1	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutd3c7.css	(from https://oscwebdesign.biz/)
12:51:23	757/757	---M-Z	200	added ('OK')	application/rss+xml	etag:%2291653de81d0ec3ba4faf2f265e073ead-gzip%22	https://oscwebdesign.biz/comments/feed/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/comments/feed/index.html	(from https://oscwebdesign.biz/)
12:51:23	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%22627e5248-1b83%22	https://oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=6.5.1	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreend3c7.css	(from https://oscwebdesign.biz/)
12:51:23	62747/62747	---MCZ	200	added ('OK')	text/css	etag:W/%22627e5248-f523%22	https://oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=6.5.1	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/woocommerce/assets/css/woocommerced3c7.css	(from https://oscwebdesign.biz/)
12:51:24	10803/10803	---MCZ	200	added ('OK')	text/css	etag:W/%2261012aa5-5155%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/style.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/style7404.css	(from https://oscwebdesign.biz/)
12:51:24	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min7404.css	(from https://oscwebdesign.biz/)
12:51:25	12611/12611	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Jun%202022%2011:51:25%20GMT	https://use.typekit.net/pto6dqv.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/use.typekit.net/pto6dqv7404.css	(from https://oscwebdesign.biz/)
12:51:25	2991/2991	---MCZ	200	added ('OK')	text/css	etag:W/%225d8de13d-e3d%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/fonts.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/fonts/fonts7404.css	(from https://oscwebdesign.biz/)
12:51:25	2390/2390	---MCZ	200	added ('OK')	text/css	etag:W/%225d92f3bc-956%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/css/slick-theme.min.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/css/slick-theme.min7404.css	(from https://oscwebdesign.biz/)
12:51:25	1369/1369	---MCZ	200	added ('OK')	text/css	etag:W/%225d92f3c0-559%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/css/slick.min.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/css/slick.min7404.css	(from https://oscwebdesign.biz/)
12:51:25	2621/2621	---MCZ	200	added ('OK')	text/css	etag:W/%225d9b3b9e-a3d%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/css/meanmenu.min.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/css/meanmenu.min7404.css	(from https://oscwebdesign.biz/)
12:51:26	114817/114817	---MCZ	200	added ('OK')	text/css	etag:W/%226092245c-1c081%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/css/main.css?v=1655121078&ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/assets/css/mainee37.css	(from https://oscwebdesign.biz/)
12:51:26	3497/3497	---MCZ	200	added ('OK')	text/css	etag:W/%225d8cbd89-12c6%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/js/menu.css?ver=5.9.3	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/js/menu7404.css	(from https://oscwebdesign.biz/)
